x (mm), y (mm), z (mm), B_x (uT), B_y (uT), B_z (uT)
0.0,0.0,10,0.0,-0.01218243595212698,-0.00100717565510422
0.10050251334905624,0.0,10,0.0,-0.012188978493213654,-0.0030276889447122812
0.2010050266981125,0.0,10,0.0,-0.012202057987451553,-0.0050441729836165905
0.30150753259658813,0.0,10,0.0,-0.012221742421388626,-0.007068937178701162
0.402010053396225,0.0,10,0.0,-0.012247996404767036,-0.009091794490814209
0.5025125741958618,0.0,10,0.0,-0.01228097453713417,-0.011125084012746811
0.6030150651931763,0.0,10,0.0,-0.01232063863426447,-0.013158622197806835
0.7035176157951355,0.0,10,0.0,-0.012367225252091885,-0.01520481612533331
0.80402010679245,0.0,10,0.0,-0.012420673854649067,-0.017253423109650612
0.9045225977897644,0.0,10,0.0,-0.012481269426643848,-0.019316982477903366
1.0050251483917236,0.0,10,0.0,-0.01254905667155981,-0.021385183557868004
1.105527639389038,0.0,10,0.0,-0.012624230235815048,-0.02347075380384922
1.2060301303863525,0.0,10,0.0,-0.012706918641924858,-0.02556328848004341
1.306532621383667,0.0,10,0.0,-0.012797379866242409,-0.027675660327076912
1.407035231590271,0.0,10,0.0,-0.012895717285573483,-0.029797431081533432
1.5075377225875854,0.0,10,0.0,-0.013002343475818634,-0.03194171190261841
1.6080402135849,0.0,10,0.0,-0.013117380440235138,-0.034097906202077866
1.7085427045822144,0.0,10,0.0,-0.013241233304142952,-0.036279428750276566
1.8090451955795288,0.0,10,0.0,-0.0133740846067667,-0.03847556561231613
1.9095478057861328,0.0,10,0.0,-0.013516350649297237,-0.040700092911720276
2.0100502967834473,0.0,10,0.0,-0.013668355531990528,-0.04294213280081749
2.1105527877807617,0.0,10,0.0,-0.013830576092004776,-0.045215755701065063
2.211055278778076,0.0,10,0.0,-0.014003339223563671,-0.04751001298427582
2.3115577697753906,0.0,10,0.0,-0.014187292195856571,-0.04983944818377495
2.412060260772705,0.0,10,0.0,-0.014382739551365376,-0.05219283699989319
2.5125627517700195,0.0,10,0.0,-0.014590486884117126,-0.05458526685833931
2.613065242767334,0.0,10,0.0,-0.014810862950980663,-0.05700531229376793
2.7135679721832275,0.0,10,0.0,-0.015044832602143288,-0.059468697756528854
2.814070463180542,0.0,10,0.0,-0.015292778611183167,-0.06196373701095581
2.9145729541778564,0.0,10,0.0,-0.015555830672383308,-0.06450673937797546
3.015075445175171,0.0,10,0.0,-0.015834525227546692,-0.06708589941263199
3.1155779361724854,0.0,10,0.0,-0.016130099073052406,-0.06971827149391174
3.2160804271698,0.0,10,0.0,-0.016443176195025444,-0.07239168137311935
3.3165829181671143,0.0,10,0.0,-0.016775302588939667,-0.07512412965297699
3.4170854091644287,0.0,10,0.0,-0.017127180472016335,-0.07790321111679077
3.517587900161743,0.0,10,0.0,-0.01750064268708229,-0.08074795454740524
3.6180903911590576,0.0,10,0.0,-0.01789659447968006,-0.0836455374956131
3.718592882156372,0.0,10,0.0,-0.018317146226763725,-0.08661605417728424
3.8190956115722656,0.0,10,0.0,-0.018763497471809387,-0.0896465852856636
3.91959810256958,0.0,10,0.0,-0.019238043576478958,-0.09275848418474197
4.0201005935668945,0.0,10,0.0,-0.019742293283343315,-0.09593845903873444
4.120603084564209,0.0,10,0.0,-0.020279228687286377,-0.09920936077833176
4.221105575561523,0.0,10,0.0,-0.020850639790296555,-0.10255761444568634
4.321608066558838,0.0,10,0.0,-0.02146012708544731,-0.10600787401199341
4.422110557556152,0.0,10,0.0,-0.022109994664788246,-0.1095462292432785
4.522613048553467,0.0,10,0.0,-0.022804589942097664,-0.11319923400878906
4.623115539550781,0.0,10,0.0,-0.023546839132905006,-0.1169528141617775
4.723618030548096,0.0,10,0.0,-0.02434200420975685,-0.12083595991134644
4.82412052154541,0.0,10,0.0,-0.02519395761191845,-0.12483418732881546
4.924623012542725,0.0,10,0.0,-0.026109181344509125,-0.1289793848991394
5.025125503540039,0.0,10,0.0,-0.02709260582923889,-0.13325674831867218
5.1256279945373535,0.0,10,0.0,-0.028152476996183395,-0.13770166039466858
5.226130485534668,0.0,10,0.0,-0.029295168817043304,-0.14229904115200043
5.326632976531982,0.0,10,0.0,-0.03053114376962185,-0.14708831906318665
5.427135944366455,0.0,10,0.0,-0.03186892345547676,-0.15205436944961548
5.5276384353637695,0.0,10,0.0,-0.03332182765007019,-0.1572413593530655
5.628140926361084,0.0,10,0.0,-0.034901343286037445,-0.1626342386007309
5.728643417358398,0.0,10,0.0,-0.03662503883242607,-0.1682831197977066
5.829145908355713,0.0,10,0.0,-0.03850841894745827,-0.17417305707931519
5.929648399353027,0.0,10,0.0,-0.04057489335536957,-0.18036140501499176
6.030150890350342,0.0,10,0.0,-0.042845867574214935,-0.18683341145515442
6.130653381347656,0.0,10,0.0,-0.04535326361656189,-0.19365543127059937
6.231155872344971,0.0,10,0.0,-0.04812724143266678,-0.20081287622451782
6.331658363342285,0.0,10,0.0,-0.05121199041604996,-0.2083830088376999
6.4321608543396,0.0,10,0.0,-0.05465097725391388,-0.21635134518146515
6.532663345336914,0.0,10,0.0,-0.058507099747657776,-0.22480835020542145
6.6331658363342285,0.0,10,0.0,-0.06284423917531967,-0.23373852670192719
6.733668327331543,0.0,10,0.0,-0.06775447726249695,-0.24324803054332733
6.834170818328857,0.0,10,0.0,-0.07333409041166306,-0.25331735610961914
6.934673309326172,0.0,10,0.0,-0.07972179353237152,-0.2640697956085205
7.035175800323486,0.0,10,0.0,-0.08706722408533096,-0.27547428011894226
7.135678291320801,0.0,10,0.0,-0.09558697789907455,-0.28766894340515137
7.236180782318115,0.0,10,0.0,-0.10552188754081726,-0.30059194564819336
7.33668327331543,0.0,10,0.0,-0.11722633242607117,-0.31438148021698
7.437185764312744,0.0,10,0.0,-0.13110791146755219,-0.3288930654525757
7.537688732147217,0.0,10,0.0,-0.14779028296470642,-0.344206303358078
7.638191223144531,0.0,10,0.0,-0.1680268794298172,-0.35992592573165894
7.738693714141846,0.0,10,0.0,-0.1930711716413498,-0.37578803300857544
7.83919620513916,0.0,10,0.0,-0.2245316505432129,-0.39027342200279236
7.939698696136475,0.0,10,0.0,-0.26507338881492615,-0.4001886546611786
8.040201187133789,0.0,10,0.0,-0.3120823800563812,-0.3960014879703522
8.140703201293945,0.0,10,0.0,-0.3525552451610565,-0.37768295407295227
8.241206169128418,0.0,10,0.0,-0.3838775157928467,-0.35480228066444397
8.341708183288574,0.0,10,0.0,-0.4087131917476654,-0.33049461245536804
8.442211151123047,0.0,10,0.0,-0.42866963148117065,-0.30631622672080994
8.542713165283203,0.0,10,0.0,-0.4449978470802307,-0.2824719548225403
8.643216133117676,0.0,10,0.0,-0.45844945311546326,-0.25939416885375977
8.743719100952148,0.0,10,0.0,-0.4696442484855652,-0.23694288730621338
8.844221115112305,0.0,10,0.0,-0.47898685932159424,-0.215299591422081
8.944724082946777,0.0,10,0.0,-0.4868263006210327,-0.19426386058330536
9.045226097106934,0.0,10,0.0,-0.4933992922306061,-0.17393453419208527
